date,sido,sigungu,area_ha,cause_type,cause_detail
2022-03-12,경남,경남,0.6,입,기타(직접입력)
2022-03-12,전북,전북,0.02,담,담뱃불실화
2022-03-12,북부,강원,8.0,쓰,쓰레기소각
2022-03-12,경북,경북,0.15,담,담뱃불실화
2022-03-12,경기,경기,0.1,담,담뱃불실화
2022-03-12,강원,강원,0.33,기,작업장실화
2022-03-12,서부,경남,3.8,기,기타(직접입력)
2022-03-12,전남,전남,3.0,기,기타(직접입력)
2022-03-16,경북,경북,0.48,기,기타(직접입력)
2022-03-22,충남,충남,0.09,입,기타(직접입력)
2022-03-23,부산,부산,0.33,기,기타(직접입력)
2022-03-24,경남,경남,1.47,,농산폐기물소각
2022-03-27,경남,경남,0.1,,주택화재비화
2022-03-28,경남,경남,0.02,입,기타(직접입력)
2022-03-28,경기,경기,0.3,기,작업장실화
2022-03-28,경기,경기,0.09,쓰,쓰레기소각
2022-03-29,강원,강원,0.65,입,기타(직접입력)
2022-03-29,경남,경남,0.05,,농산폐기물소각
2022-03-29,경기,경기,0.01,기,기타(직접입력)
2022-04-01,경남,경남,0.01,기,기타(직접입력)
2022-04-01,전북,전북,0.1,입,기타(직접입력)
2022-04-01,전남,전남,1.0,입,기타(직접입력)
2022-04-01,경기,경기,0.89,기,기타(직접입력)
2022-04-01,서울,서울,0.02,기,기타(직접입력)
2022-04-02,경기,경기,0.5,쓰,쓰레기소각
2022-04-02,경기,경기,0.09,,농산폐기물소각
2022-04-02,경기,경기,0.15,쓰,쓰레기소각
2022-04-02,충남,충남,0.01,,기타(직접입력)
2022-04-02,전북,전북,5.0,기,기타(직접입력)
2022-04-02,경기,경기,0.03,입,기타(직접입력)
2022-04-03,충북,충북,0.25,입,기타(직접입력)
2022-04-03,경북,경북,0.1,입,기타(직접입력)
2022-04-03,서울,서울,0.01,기,기타(직접입력)
2022-04-03,울산,울산,0.1,쓰,쓰레기소각
2022-04-03,전북,전북,0.09,,농산폐기물소각
2022-04-04,경기,경기,8.0,기,기타(직접입력)
2022-04-04,경기,경기,0.1,쓰,쓰레기소각
2022-04-04,충남,충남,0.07,입,기타(직접입력)
2022-04-04,경북,경북,0.17,입,기타(직접입력)
2022-04-04,경기,경기,0.23,쓰,쓰레기소각
2022-04-04,경기,경기,0.01,쓰,쓰레기소각
2022-04-04,경기,경기,0.1,담,담뱃불실화
2022-04-04,세종,세종,0.3,,농산폐기물소각
2022-04-04,강원,강원,0.3,기,기타(직접입력)
2022-04-04,남부,경북,3.5,기,기타(직접입력)
2022-04-04,경기,경기,0.1,쓰,쓰레기소각
2022-04-04,울산,울산,0.02,입,기타(직접입력)
2022-04-05,경기,경기,0.8,쓰,쓰레기소각
2022-04-05,인천,인천,0.05,기,기타(직접입력)
2022-04-05,경기,경기,0.03,담,담뱃불실화
2022-04-05,경기,경기,0.12,입,기타(직접입력)
2022-04-05,경북,경북,0.16,쓰,쓰레기소각
2022-04-05,충남,충남,0.02,입,기타(직접입력)
2022-04-05,경북,경북,130.0,기,기타(직접입력)
2022-04-06,경북,경북,0.1,기,작업장실화
2022-04-06,경남,경남,0.14,입,기타(직접입력)
2022-04-06,인천,인천,0.09,기,기타(직접입력)
2022-04-06,경기,경기,0.02,담,담뱃불실화
2022-04-06,경남,경남,0.18,,주택화재비화
2022-04-07,경기,경기,0.2,기,기타(직접입력)
2022-04-07,경기,경기,0.01,기,기타(직접입력)
2022-04-07,전북,전북,0.4,입,기타(직접입력)
2022-04-07,경기,경기,0.03,쓰,쓰레기소각
2022-04-07,경기,경기,0.01,기,기타(직접입력)
2022-04-07,전남,전남,0.1,,기타(직접입력)
2022-04-08,전북,전북,0.09,입,기타(직접입력)
2022-04-08,전북,전북,0.09,입,기타(직접입력)
2022-04-08,충남,충남,0.1,기,기타(직접입력)
2022-04-08,전남,전남,0.1,입,기타(직접입력)
2022-04-08,경남,경남,0.1,입,기타(직접입력)
2022-04-08,경기,경기,0.05,기,기타(직접입력)
2022-04-09,충남,충남,9.93,,농산폐기물소각
2022-04-09,경기,경기,0.45,기,기타(직접입력)
2022-04-09,충남,충남,0.5,입,기타(직접입력)
2022-04-09,충남,충남,0.1,쓰,쓰레기소각
2022-04-09,경기,경기,1.0,기,기타(직접입력)
2022-04-09,경기,경기,8.0,기,성묘객실화
2022-04-09,경북,경북,0.2,입,기타(직접입력)
2022-04-09,경남,경남,1.8,,주택화재비화
2022-04-09,경북,경북,0.2,입,기타(직접입력)
2022-04-09,경기,경기,1.5,기,기타(직접입력)
2022-04-09,경기,경기,1.6,쓰,쓰레기소각
2022-04-09,경기,경기,0.2,쓰,쓰레기소각
2022-04-09,전북,전북,0.2,,논밭두렁소각
2022-04-09,경기,경기,1.0,기,기타(직접입력)
2022-04-09,전남,전남,0.12,입,기타(직접입력)
2022-04-09,경기,경기,0.01,기,작업장실화
2022-04-09,충남,충남,158.11,쓰,쓰레기소각
2022-04-09,경북,경북,3.0,기,방화
2022-04-10,경기,경기,0.02,담,담뱃불실화
2022-04-10,경남,경남,0.01,,기타(직접입력)
2022-04-10,경북,경북,2.5,입,기타(직접입력)
2022-04-10,강원,강원,716.31,쓰,쓰레기소각
2022-04-10,경남,경남,0.8,입,기타(직접입력)
2022-04-10,전남,전남,0.5,입,기타(직접입력)
2022-04-10,전북,전북,1.0,,농산폐기물소각
2022-04-10,경기,경기,0.02,기,기타(직접입력)
2022-04-10,경기,경기,0.02,기,기타(직접입력)
2022-04-10,경기,경기,1.24,기,기타(직접입력)
2022-04-10,대구,대구,0.03,입,기타(직접입력)
2022-04-10,강원,강원,3.3,기,기타(직접입력)
2022-04-10,경기,경기,0.06,기,기타(직접입력)
2022-04-10,경기,경기,0.03,입,기타(직접입력)
2022-04-10,강원,강원,0.94,기,기타(직접입력)
2022-04-10,강원,강원,13.0,기,기타(직접입력)
2022-04-10,경기,경기,0.08,기,성묘객실화
2022-04-10,부산,부산,2.0,기,기타(직접입력)
2022-04-10,경기,경기,0.05,쓰,쓰레기소각
2022-04-10,서부,경남,1.7,기,기타(직접입력)
2022-04-10,경북,경북,225.72,입,기타(직접입력)
2022-04-11,울산,울산,0.5,,주택화재비화
2022-04-11,경북,경북,0.15,입,기타(직접입력)
2022-04-11,충북,충북,0.14,기,기타(직접입력)
2022-04-11,대구,대구,0.01,입,기타(직접입력)
2022-04-11,강원,강원,3.5,기,기타(직접입력)
2022-04-11,경북,경북,1.1,기,기타(직접입력)
2022-04-11,경기,경기,0.04,기,기타(직접입력)
2022-04-12,전남,전남,1.0,기,기타(직접입력)
2022-04-12,경기,경기,0.01,담,담뱃불실화
2022-04-12,전북,전북,0.04,,논밭두렁소각
2022-04-12,충남,충남,0.05,입,기타(직접입력)
2022-04-12,충남,충남,0.21,입,기타(직접입력)
2022-04-12,강원,강원,0.3,기,기타(직접입력)
2022-04-12,전남,전남,0.3,입,기타(직접입력)
2022-04-12,경북,경북,9.69,,기타(직접입력)
2022-04-12,과학원,경기,0.27,기,기타(직접입력)
2022-04-15,전남,전남,0.3,입,기타(직접입력)
2022-04-15,경기,경기,0.01,,논밭두렁소각
2022-04-15,강원,강원,0.02,기,기타(직접입력)
2022-04-16,대구,대구,0.01,기,작업장실화
2022-04-16,전남,전남,0.6,입,기타(직접입력)
2022-04-16,충남,충남,0.08,입,기타(직접입력)
2022-04-16,경기,경기,0.02,기,기타(직접입력)
2022-04-17,경북,경북,0.1,,농산폐기물소각
2022-04-17,전남,전남,0.2,입,기타(직접입력)
2022-04-17,강원,강원,0.2,기,기타(직접입력)
2022-04-17,전남,전남,1.0,입,기타(직접입력)
2022-04-17,경기,경기,0.05,기,기타(직접입력)
2022-04-17,전북,전북,0.35,입,기타(직접입력)
2022-04-18,인천,인천,0.03,입,기타(직접입력)
2022-04-18,울산,울산,0.01,입,기타(직접입력)
2022-04-18,대구,대구,0.03,입,기타(직접입력)
2022-04-18,경남,경남,0.2,입,기타(직접입력)
2022-04-18,경북,경북,0.2,입,기타(직접입력)
2022-04-18,전북,전북,0.6,기,기타(직접입력)
2022-04-18,경기,경기,0.46,기,기타(직접입력)
2022-04-19,전북,전북,0.01,담,담뱃불실화
2022-04-19,경남,경남,0.01,입,기타(직접입력)
2022-04-19,전북,전북,0.1,입,기타(직접입력)
2022-04-19,대구,대구,0.15,입,기타(직접입력)
2022-04-19,전북,전북,0.1,,농산폐기물소각
2022-04-19,충남,충남,1.0,입,기타(직접입력)
2022-04-19,인천,인천,0.69,담,담뱃불실화
2022-04-20,경남,경남,0.61,입,기타(직접입력)
2022-04-20,대구,대구,2.89,입,기타(직접입력)
2022-04-20,충남,충남,0.03,입,기타(직접입력)
2022-04-20,대구,대구,3.18,입,기타(직접입력)
2022-04-20,충남,충남,0.5,입,기타(직접입력)
2022-04-20,경기,경기,1.8,담,담뱃불실화
2022-04-20,경기,경기,0.01,기,작업장실화
2022-04-20,대구,대구,0.08,입,기타(직접입력)
2022-04-20,강원,강원,12.51,기,작업장실화
2022-04-20,중부,충남,0.7,쓰,쓰레기소각
2022-04-20,전북,전북,0.15,,논밭두렁소각
2022-04-20,경남,경남,0.1,담,담뱃불실화
2022-04-21,강원,강원,0.01,기,작업장실화
2022-04-21,경기,경기,0.4,,주택화재비화
2022-04-21,충남,충남,0.2,입,기타(직접입력)
2022-04-21,북부,강원,1.12,입,기타(직접입력)
2022-04-22,강원,강원,0.6,기,기타(직접입력)
2022-04-22,경북,경북,0.71,쓰,쓰레기소각
2022-04-22,강원,강원,70.44,기,기타(직접입력)
2022-04-22,충남,충남,2.0,기,기타(직접입력)
2022-04-22,충남,충남,1.0,기,작업장실화
2022-04-22,중부,충남,0.06,입,기타(직접입력)
2022-04-22,경북,경북,3.0,입,기타(직접입력)
2022-04-23,충남,충남,0.01,입,기타(직접입력)
2022-04-23,경북,경북,0.05,입,기타(직접입력)
2022-04-23,전북,전북,0.6,기,기타(직접입력)
2022-04-23,경기,경기,0.01,입,기타(직접입력)
2022-04-23,충북,충북,2.82,기,기타(직접입력)
2022-04-23,중부,대전,0.01,입,기타(직접입력)
2022-04-24,강원,강원,0.06,기,기타(직접입력)
2022-04-24,경남,경남,0.01,입,기타(직접입력)
2022-04-24,세종,세종,0.21,기,기타(직접입력)
2022-04-24,충북,충북,0.1,입,기타(직접입력)
2022-04-24,경북,경북,0.01,입,기타(직접입력)
2022-04-24,경기,경기,0.2,기,기타(직접입력)
2022-04-24,충남,충남,0.02,기,작업장실화
2022-04-24,강원,강원,0.01,쓰,쓰레기소각
2022-04-24,강원,강원,0.02,기,기타(직접입력)
2022-04-25,대구,대구,0.01,입,기타(직접입력)
2022-04-25,북부,경기,0.01,입,기타(직접입력)
2022-04-25,전북,전북,0.06,입,기타(직접입력)
2022-04-25,전남,전남,5.0,쓰,쓰레기소각
2022-04-25,경기,경기,0.1,기,기타(직접입력)
2022-04-25,강원,강원,0.05,기,기타(직접입력)
2022-04-26,경기,경기,0.16,기,기타(직접입력)
2022-04-28,경기,경기,0.01,기,기타(직접입력)
2022-05-01,경기,경기,0.07,기,기타(직접입력)
2022-05-01,전남,전남,0.65,쓰,쓰레기소각
2022-05-01,경기,경기,0.3,쓰,쓰레기소각
2022-05-01,충남,충남,0.3,입,기타(직접입력)
2022-05-02,경북,경북,0.01,기,기타(직접입력)
2022-05-02,경기,경기,0.8,기,기타(직접입력)
2022-05-03,경북,경북,1.44,입,기타(직접입력)
2022-05-03,경북,경북,0.01,담,담뱃불실화
2022-05-03,동부,강원,0.24,기,기타(직접입력)
2022-05-03,충북,충북,1.5,기,기타(직접입력)
