date,sido,total_area_ha,fire_count
2023-03-09,충남,0.25,2
2023-03-09,충북,2.0,1
2023-03-10,경기,0.27,1
2023-03-10,경남,0.01,1
2023-03-10,경북,3.43,1
2023-03-10,전북,1.0,1
2023-03-10,충북,1.73,1
2023-03-11,강원,0.13,1
2023-03-11,경기,0.55,2
2023-03-11,경남,131.46,2
2023-03-11,광주,3.9,1
2023-03-11,대구,0.35,1
2023-03-11,서울,0.02,1
2023-03-11,전북,0.3,1
2023-03-11,충남,3.5300000000000002,5
2023-03-11,충북,0.66,1
2023-03-12,경기,0.01,1
2023-03-12,경남,0.75,1
2023-03-13,경남,0.01,1
2023-03-13,남부,0.6,1
2023-03-13,전남,0.03,1
2023-03-14,강원,0.13,1
2023-03-14,경기,1.97,3
2023-03-14,경남,0.04,1
2023-03-14,경북,0.1,1
2023-03-14,전북,0.3,1
2023-03-14,충남,3.0,1
2023-03-14,충북,0.13,2
2023-03-15,경기,0.2,1
2023-03-16,강원,0.16,1
2023-03-16,경남,1.2,2
2023-03-16,경북,98.0,1
2023-03-16,부산,0.01,1
2023-03-16,전남,0.3,1
2023-03-17,경기,0.05,1
2023-03-17,경북,4.0,1
2023-03-17,부산,0.09,1
2023-03-17,충남,0.15,1
2023-03-18,강원,22.64,2
2023-03-18,경기,0.07,1
2023-03-18,경북,0.48,1
2023-03-18,전남,19.0,2
2023-03-18,전북,3.7,2
2023-03-18,중부,0.8,1
2023-03-18,충남,8.370000000000001,2
2023-03-18,충북,15.360000000000001,3
2023-03-19,경기,0.05,1
2023-03-19,경남,0.65,1
2023-03-19,경북,1.5,1
2023-03-19,전남,0.1,1
2023-03-19,충남,0.05,1
2023-03-19,충북,0.2,2
2023-03-20,부산,0.03,1
2023-03-20,인천,0.01,1
2023-03-20,전남,0.1,1
2023-03-20,전북,1.1,2
2023-03-20,충남,16.94,3
2023-03-21,강원,0.35,1
2023-03-21,경기,1.05,4
2023-03-21,경남,5.199999999999999,2
2023-03-21,경북,11.7,2
2023-03-21,동부,0.01,1
2023-03-21,북부,0.3,1
2023-03-21,울산,1.2,1
2023-03-21,전남,0.4,2
2023-03-21,충북,1.1,1
2023-03-22,강원,0.07,1
2023-03-22,남부,0.58,1
2023-03-22,북부,1.0,1
2023-03-22,인천,0.03,1
2023-03-22,전북,1.3,4
2023-03-22,충남,0.2,1
2023-03-22,충북,4.25,3
2023-03-24,강원,0.16,1
2023-03-24,경기,0.05,3
2023-03-25,경기,0.07,1
2023-03-25,충남,0.04,1
2023-03-26,강원,0.54,1
2023-03-26,경기,0.04,1
2023-03-26,인천,22.0,1
2023-03-27,강원,0.5,1
2023-03-27,전북,1.0,1
2023-03-27,충남,0.09,1
2023-03-28,강원,0.05,1
2023-03-28,경기,0.02,1
2023-03-28,경남,0.09,1
2023-03-28,충남,0.51,2
2023-03-28,충북,0.1,1
2023-03-29,강원,0.15,1
2023-03-29,경기,0.72,1
2023-03-29,경남,0.37,1
2023-03-29,충남,0.07,1
2023-03-30,강원,71.2,4
2023-03-30,경기,40.81,3
2023-03-30,경남,0.15,1
2023-03-30,경북,0.7,1
2023-03-30,북부,0.11,1
2023-03-30,인천,0.33,1
2023-03-30,충북,21.0,1
2023-03-31,강원,0.83,1
2023-03-31,경기,0.22,3
2023-03-31,경남,0.5,1
2023-03-31,경북,0.49,2
2023-03-31,광주,0.09,1
